"","id","complete","currentTime","startTime","device","browser","headphones","anonymous_id","difficulty","sounds/spontaneous_tap.wav","sounds/ratio/f_2-5_48-120.wav","sounds/ratio/f_2-3_80-120.wav","sounds/ratio/s_3-5_90-150.wav","sounds/ratio/s_2-3_90-135.wav","sounds/ratio/m_3-4_90-120.wav","sounds/ratio/s_2-5_90-225.wav","sounds/ratio/f_3-5_72-120.wav"
"1","e79b2e8c5c28ee0d2d8954ac2ccdbb653443413bcf1f704bc910ef890aa111f5",FALSE,2020-04-27 09:36:21,2020-04-27 09:35:08,"Smartphone (touchscreen)","Safari","in-ear headphones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","6614ab7a591d6b4adef6d6a660b94c835e5fdc15b4fa255ca7091cb8af4848f0",FALSE,2020-04-27 09:36:52,2020-04-27 09:35:58,"Smartphone (touchscreen)","Safari","smartphone speakers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","15e27e4fc565074fed93e1de0d9d0e73149a48658bf3fee75f04afbfaaa84be4",TRUE,2020-04-27 09:39:30,2020-04-27 09:33:44,"Laptop (touchpad)","Chrome","in-ear headphones","signe","4","1816.384999998263,2328.720000004978,2904.3650000094203,3448.1099999975413,3974.3650000018533,4493.835000001127,5028.690000006463,5555.76000000292,6127.575000005891,6679.09000000509,7181.235000010929,7718.890000003739,8251.935000007506,8819.515000010142,9322.5250000105,9849.310000005062,10409.18000000238,10952.214999997523,11487.710000001243,12022.66500001133,12598.35000000021,13100.940000003902,13636.310000001686,14199.390000008862,14711.049999998068,15246.225000009872,15764.945000002626,16276.20000000752,16843.010000011418,17346.555000010994,17881.46499999857,18434.370000002673,18976.02000000188,19519.80999999796,20062.705000003916,20614.240000009886,21141.485000000102","4663.230000005569,5150.024999995367,5652.425000007497,6147.475000005215,6649.894999995013,7136.4250000042375,7615.489999996498,8125.929999994696,8620.380000007572,9108.384999999544,9609.490000002552,10112.485000005108,10624.645000003511,11126.155000005383,11637.105000001611,12107.56499999843,12609.98500000278,13105.039999994915,13607.554999995045,14102.679999996326,14605.28499999782,15100.21499999857,15603.065000002971,16101.185000006808,16611.830000008922,17098.989999998594,17601.330000004964,18113.970000005793,18607.9000000027,19125.675000002957,19612.81500000041,20124.53000000096,20625.90500000806,21121.045000007143,21615.499999999884,22094.0799999953,22580.49999999639,23090.844999998808","3122.174999996787,3648.4349999955157,4159.86499999417,4638.3050000004005,5100.334999995539,5599.319999993895,6069.625000003725,6629.740000003949,7165.145000006305,7653.0849999981,8121.624999999767,8616.110000002664,9102.87000000244,9602.53499999817,10096.254999996745,10599.090000003343,11110.004999994999,11613.784999994095,12107.539999997243,12586.230000000796,13113.100000002305,13624.605000004522,14095.040000000154","2356.5899999957765,2777.765000006184,3572.694999995292,5235.345000008238,5583.954999994603,5972.875000006752,6476.5950000000885,6986.875000002328,7611.799999998766,8146.529999998165,8706.355000002077,9216.310000003432,9662.720000007539,10116.695000004256,10644.690000000992,11162.550000008196,11616.810000006808,12062.97500000801,12533.565000005183,12987.525000004098","3713.5100000014063,4216.529999990598,4654.559999995399,5108.729999992647,5554.3349999934435,5983.874999990803,6430.114999995567,6859.7849999932805,7281.770000001416,7752.259999993839,8214.509999990696,8660.174999997253,9089.83499999158,9536.28000000026,9958.004999993136,10416.184999994584,10870.069999989937,11324.374999996508,11778.519999992568,12208.090000000084,12645.799999998417","4423.494999995455,5112.844999996014,5786.0599999985425,6447.155000001658,7095.285000003059,7784.939999997732,8449.630000002799,9114.285000003292,9763.200000001234,10431.595000001835,11098.574999996345,11737.529999998515,12418.095000000903","6373.894999996992,6964.76000000257,7520.619999995688,8088.325000004261,8598.790000003646,9134.565000000293,9653.470000004745,10204.51999999932,10756.470000007539,11259.270000009565,11777.935000005527,12304.715000005672,12824.395000003278","4215.17500000482,4660.459999999148,5195.39999999688,5981.679999997141,6703.569999997853,7368.529999992461,8009.389999991981,8617.599999997765,9189.350000000559,9845.289999997476,10478.430000002845,11087.094999995315,11720.759999996517,12327.030000000377,12943.910000001779,13560.175000005984,14192.834999994375,14874.209999994491,15497.564999997849"
"4","1f26e34fa8907f59924c8f8290db9df8bed46e481fdfa35169264d4c25203a19",TRUE,2020-04-27 09:39:44,2020-04-27 09:35:34,"Laptop (touchpad)","Chrome","in-ear headphones","","7","1814.184999995632,2653.7950000201818,3517.619999998715,4232.734999997774,5047.69999999553,5839.955000003101,6574.925000022631,7300.695000012638,8035.81000000122,8806.410000019241,9606.729999999516,10326.215000008233,11059.624999994412,11794.880000001285,12549.86500000814,13260.390000010375,14019.595000019763,14731.2099999981,15489.975000004051,16215.890000021318,16906.62500000326,17625.755000015488,18424.58500000066,19200.190000003204,19950.8050000004,20690.159999998286,21441.78500000271","1622.975000005681,6210.919999983162,7591.114999988349,8628.880000003846,9671.254999993835,10729.149999999208,11923.944999987725,13058.009999978822,14027.029999997467,15174.329999979818,16150.789999985136,17145.16499999445,18065.104999986943,19075.249999994412,20068.25499999104,21037.029999977676,22062.000000005355,23015.099999989616","4092.900000017835,5546.010000020033,7048.100000014529,8489.105000015115,10056.790000002366,11557.950000016717,13031.72500000801","5179.9299999838695,5676.674999995157,6129.104999999981,6605.104999995092,7138.9799999888055,7598.9149999804795,8107.480000006035,8641.109999996843,9177.70999998902,9620.834999979706,10097.699999983888,10607.010000006994,11140.069999994012,11592.009999993024,12027.954999997746,12561.044999980368","5023.519999987911,6354.91500000353,7712.495000014314,8990.354999987176,10319.335000007413,11671.915000013541,12972.000000008848","4392.289999988861,5037.7149999840185,5725.189999997383,6378.770000010263,6999.764999985928,7702.885000006063,8357.0550000004,9034.51500000665,9666.085000004387,10343.809999991208,11013.799999986077,11651.649999985239,12361.81500001112","3790.115000010701,4943.125000019791,6267.055000003893,8944.860000017798,10462.07000000868,11774.135000014212","3160.5100000160746,3684.7600000037346,4258.735000010347,4799.880000005942,5465.8350000099745,6135.655000020051,6700.565000006463,7299.120000010589,8000.370000023395,8607.145000016317,9240.615000016987,10007.500000006985,10604.64000000502,11210.655000002589,11735.500000009779,12294.250000006286,12882.720000023255,13556.995000020834,14154.745000007097,14712.010000017472,15373.53000001167"
"5","40c8885e203f9dc1fd5ea0d366f63706b48935b72b8efa9e053ee37763c8ccb0",TRUE,2020-04-27 09:39:42,2020-04-27 09:34:43,"Laptop (touchpad)","Edge","computer speakers","","7","4226.899780172302,5194.000010572257,6083.9000195586705,6938.100117880793,7804.599918895576,8622.199953330971,9499.699823065515,10365.499966395262,11262.399950461345,12099.30004025012,12976.199933696742,13881.799762728042,14748.19988234574,15624.400118107325,16500.800094244216,17327.30009160115,18203.199772847234,19083.199984292616,19886.599950612377,20702.199938227713,21527.700100965157","3883.3002698194177,4396.799925087922,4869.89991836698,5403.000183504395,5885.800233949238,6420.499932412989,6944.00019936281,7437.4000826147385,7879.700034510926,8403.000183504395,8916.200039419462,9429.700072269013,9912.500122713856,10425.800037607085,10919.199920859013,11433.299929996486,11935.400035794678,12398.500172554544,12902.70000656991,13405.799946987623,13939.90004674453,14446.400104514468,14917.999968283198,15420.700050369341,15884.300104438938,16427.400226095545,16920.900168325664,17394.600137892615,17906.100123922137,18420.49993241302,18926.9999901829,19416.800015707354,19930.50016651323,20413.20015797994,20896.700243690837,21440.600082010583,21953.89999690387,22436.499929392332,22930.0002492035,23423.09995552097","6481.199861956382,7356.199767561106,9403.09986490151,9905.300029677891,10428.099883780552,10931.99991844251,11414.900027865485,11938.600035190553,12431.099765220104,12954.499973191763,13447.29988015577,13930.599847910372,14443.700022428325","11850.799980969895,12244.80014257459,12646.100078612362","4002.6000231079524,5331.000008306786,6752.900011251913,7218.50011214157,7639.300221489044,8102.800216580479,8566.000034737459,8968.80010028553,9402.400207216473,9895.700031490268,10321.600128075486,10741.800261135038,11205.200197248341,11649.900054296158,12091.700088882586,12524.800278503768,12957.400173234171","4042.0999094560684,4694.900163794664,5370.599953633035,6024.500101569283,6667.699980139238,7362.4000259775785,7986.499967150448,8661.600158281973,9339.600171874888,9992.000190300837,10665.200016009417,11350.000264306727,11974.200264457758,12668.899932715052","",""
"6","95239723373b1908db37639d129f6ec5ae1cdb7a2477551e42b6a69da8e8f5f9",TRUE,2020-04-27 09:39:03,2020-04-27 09:33:49,"Smartphone (touchscreen)","Chrome","smartphone speakers","OleAdrian","3","2031.6000000020722,2528.8000000000466,3013.4000000034575,3500.500000001921,3991.0000000018044,4466.800000001967,4970.600000000559,5468.399999997928,5983.299999999872,6492.899999997462,6997.100000000501,7511.2999999983,8020.600000003469,8516.700000000128,9015.599999998813,9512.99999999901,10004.300000000512,10520.49999999872,11035.000000003492,11515.599999998813,12006.900000000314,12498.699999996461,12986.100000001898,13467.70000000106,13969.40000000177,14482.199999998556,14980.70000000007,15477.4000000034,15951.200000003155,16476.09999999986,16967.100000001665,17462.899999998626,17961.699999999837,18468.000000000757,18991.49999999645,19488.59999999695,19979.599999998754,20470.30000000086,20933.100000002014,21481.20000000199","3140.5999999988126,3663.1000000052154,4169.000000001688,4659.200000001874,5166.799999999057,5648.90000000014,6154.500000004191,6664.4000000014785,7169.200000003912,7658.60000000248,8165.7000000050175,8637.99999999901,9155.100000003586,9668.20000000007,10192.10000000021,10666.000000004715,11164.700000001176,11680.80000000191,12163.70000000461,12668.100000002596,13168.100000002596,13657.500000001164,14146.800000002258,14645.400000001246,15158.100000000559,15657.700000003388,16173.699999999371,16689.100000003236,17137.000000002445,17628.199999999197,18132.30000000476,18624.199999998382,19124.30000000313,19638.10000000376,20154.999999998836,20635.09999999951,21149.700000001758,21657.700000003388,22121.59999999858,22636.500000000524,23143.700000000536","4102.29999999865,4643.499999998312,5150.399999998626,5656.9000000017695,6138.099999996484,6638.599999998405,7142.800000001444,7650.699999998324,8131.999999997788,8639.1999999978,9156.499999997322,9644.000000000233,10143.599999995786,10640.800000001036,11141.199999998207,11637.49999999709,12144.099999997707,12643.599999995786,13128.899999996065,13622.899999994843,14105.999999999767","5343.0999999982305,5763.199999993958,6232.199999998556,6731.199999994715,7228.599999994913,7658.299999995506,8131.900000000314,8614.199999996345,9062.299999997776,9618.59999999433,10116.49999999645,10625.199999994948,11132.499999999709,11682.099999998172,12211.899999994785,12752.599999999802","3800.600000002305,4706.300000005285,5603.500000004715,6475.900000004913,7354.700000003504,8287.199999998847,9142.299999999523,9997.600000002421,10912.0000000039,11791.700000001583,12680.10000000504","3152.30000000156,3798.0999999999767,4511.600000005274,5161.200000002282,5825.300000004063,6481.400000004214,7131.30000000092,7760.000000002037,8458.000000005995,9122.999999999593,9803.700000004028,10435.600000004342,11108.59999999957,11782.300000006217,12454.200000000128","3297.899999997753,3825.4000000015367,4344.4000000017695,4892.099999997299,5423.099999999977,5948.499999998603,6461.199999997916,6993.69999999908,7549.700000003213,8089.099999997416,8613.59999999695,9145.599999996193,9692.60000000213,10199.200000002747,10731.299999999464,11287.299999996321,11796.699999998964,12343.899999999849,12875.899999999092","4991.200000004028,5321.400000000722,5666.000000004715,6027.000000001863,6387.0999999999185,6720.3000000008615,7035.900000002584,7360.8000000022,7700.500000006286,7997.900000002119,8333.300000005693,8671.500000004016,8996.70000000333,9337.00000000681,9685.300000004645,10000.800000001618,10325.300000004063,10666.400000001886,10981.900000006135,11337.500000001455,11663.59999999986,11985.40000000503,12317.70000000688,12660.500000005413,12983.100000004924,13316.600000005565,13672.300000005635,14003.900000003341,14351.70000000653,14686.30000000121,15026.300000004994,15366.400000006252,15682.89999999979,16007.100000002538"
"7","a8f5a018066c8b958d83ce6a8c1ecf81bd43fa9744b220061cc1e79aef4fb2a6",TRUE,2020-04-27 09:39:08,2020-04-27 09:35:06,"Laptop (external mouse)","Chrome","external speakers","PV","3","1616.1150000043563,2271.3700000022072,2855.42500000156,3391.3099999990663,3942.860000002838,4519.175000001269,5070.950000001176,5622.970000003988,6159.260000000359,6687.250000002678,7255.400000001828,7799.590000002354,8343.059999999241,8855.990000003658,9391.365000003134,9905.539999999746,10447.050000002491,10966.180000003078,11501.884999997856,11999.235000002955,12518.620000002556,13007.709999998042,13503.884999998263,14030.36499999871,14526.584999999614,15046.90500000288,15574.939999998605,16079.415000000154,16598.915000002307,17098.760000000766,17590.329999999085,18094.810000002326,18617.559999998775,19079.115000000456,19566.664999998466,20071.39499999903,20590.42000000045,21103.22499999893,21567.370000004303","5135.930000004009,6096.199999999953,7138.815000005707,8116.565000003902,9116.965000001073,10163.20000000269,11139.560000003257,12127.985000006447,13138.900000005378,14136.02499999979,15143.495000003895,16139.140000006591,17162.52500000701,18104.03000000224,19138.465000003634,20135.995000004186,21127.675000003364,22133.380000006582,23159.980000003998","4119.5800000059535,4666.485000001558,5136.320000005071,5637.200000004668,6152.2750000003725,6658.895000000484,7170.920000004116,7683.1550000060815,8146.554999999353,8640.455000000657,9146.755000001576,9639.945000002626,10133.350000003702,10608.44999999972,11152.555000000575,11650.485000005574,12136.08500000555,12618.235000001732,13152.05500000593,13656.225000006089,14184.215000001132","11096.675000000687,11528.68500000477,11938.69999999879,12320.140000003448,12737.189999999828","3753.530000001774,5066.514999998617,6447.979999997187,6918.7999999994645,7398.6949999962235,7827.9249999977765,8271.034999997937,8705.13999999821,9142.63999999821,9583.15500000026,10008.17499999539,10497.71999999939,10937.63499999477,11376.77999999869,11809.580000001006,12246.664999998757,12694.684999994934","3180.5249999961234,3772.819999998319,4439.2399999997,5119.794999998703,5791.5199999988545,6423.804999998538,7116.939999999886,7812.599999997474,8444.569999999658,9136.549999995623,9860.289999996894,10396.4399999968,10428.529999997409,11112.450000000536,11782.994999994116,12437.059999996563","6449.2949999985285,7007.760000000417,7480.459999998857,8055.954999996175,8615.740000001097,9128.10499999614,9663.280000000668,10143.06999999826,10722.789999999804,11258.82499999716,11783.470000002126,12336.36000000115,12862.025000002177","6129.320000000007,6694.335000000137,7176.895000004151,7199.065000000701,7662.380000001576,8150.170000000799,8659.590000002936,9118.26000000292,9645.790000002307,10134.08999999956,10640.740000002552,11126.705000002403,11655.380000003788,12142.410000000382,12659.30500000104,13130.220000006375,13643.420000000333,14137.125000001106,14157.535000005737,14629.945000000589,15143.315000001166,15166.470000003756,15613.844999999856"
"8","d78ed4fd6c282ad41ebcf9ec3e59e884d20a9f3385b8b81e0ffaa5ceb1780788",TRUE,2020-04-27 09:39:47,2020-04-27 09:34:11,"Smartphone (touchscreen)","Chrome","on-ear headphones","","4","4634.499999927357,5273.799999966286,5924.799999920651,6677.700000000186,7435.399999958463,8164.4999999552965,8905.90000001248,9674.400000018068,10447.700000018813,11186.099999933504,11979.999999981374,12746.799999964423,13541.499999933876,14334.599999943748,15118.099999963306,15903.399999951944,16622.399999992922,17357.399999978952,18081.29999996163,18818.199999979697,19559.599999920465,20346.6999999946,21121.500000008382","3153.5999999614432,3603.499999968335,4089.1999999294057,4629.799999995157,5131.799999973737,5633.899999898858,6126.99999997858,6635.799999930896,7136.399999959394,7631.399999954738,8158.899999922141,8651.399999973364,9134.999999892898,9626.99999997858,10095.6999999471,10640.799999935552,11140.69999998901,11644.099999917671,12153.899999917485,12619.499999913387,13147.999999928288,13640.49999997951,14149.699999950826,14635.299999965355,15110.299999942072,15644.799999892712,16139.799999888055,16639.39999998547,17142.99999992363,17626.699999906123,18136.899999924935,18654.599999892525,19138.599999947473,19631.599999964237,20116.599999950267,20627.89999996312,21127.39999999758,21638.899999903515,22122.999999905005,22631.399999954738,23126.499999896623","3103.6000000312924,3630.4000000236556,4131.099999998696,4623.400000040419,5098.899999982677,5609.000000054948,6128.2000000355765,6604.799999971874,7115.500000072643,7616.500000003725,8101.900000008754,8619.399999966845,9119.500000029802,9594.900000025518,10131.599999964237,10632.699999958277,11134.599999990314,11611.09999998007,12104.000000050291,12580.500000040047,13115.300000063144,13623.20000003092,14100.600000005215","3271.000000066124,3620.4999999608845,4130.000000004657,4631.000000052154,5158.700000029057,5641.999999992549,6144.900000072084,6661.399999982677,7180.799999972805,7679.200000013225,8174.699999974109,8670.200000051409,9187.900000018999,9698.800000012852,10149.500000057742,10666.100000031292,11175.300000002608,12143.000000040047,12664.100000052713","1685.9000000404194,2235.89999997057,2795.0999999884516,3296.3000000454485,3765.400000032969,4215.800000005402,4662.300000083633,5100.500000058673,5560.9999999869615,5986.800000071526,6447.900000028312,6900.099999969825,7333.899999968708,7776.599999982864,8234.900000039488,8653.9000000339,9121.500000008382,9564.400000032037,9991.500000003725,10448.800000012852,10901.700000045821,11328.100000042468,11804.100000066683,12239.400000078604,12673.200000077486","3911.3000000361353,4446.600000024773,5089.8000000743195,5760.400000028312,6428.100000019185,7138.700000010431,7806.400000001304,8450.100000016391,9134.900000062771,9820.400000084192,10439.699999988079,11125.2000000095,11800.900000031106,12437.5","2674.3999999016523,3224.3000000016764,3784.7999999066815,4304.000000003725,4830.599999986589,5382.099999929778,5908.300000010058,6434.199999901466,6951.499999966472,7479.699999908917,8013.500000000931,8549.99999993015,9101.199999917299,9619.699999922886,10127.49999994412,10688.699999940582,11214.599999948405,11766.699999920093,12293.499999912456,12826.899999985471","3176.6000000061467,3705.4999999236315,4197.999999974854,4715.099999913946,5199.199999915436,5695.699999923818,6201.499999966472,6672.399999923073,7173.999999999069,7667.299999971874,8152.299999957904,8650.299999979325,9129.4999999227,9630.59999991674,10123.099999967963,10607.599999988452,11125.2000000095,11626.99999997858,12120.400000014342,12631.199999945238,13114.999999990687,13614.199999952689,14133.700000005774,14634.599999990314,15137.799999909475,15645.59999993071"
"9","f78fcf2a12c2c53018ac6268e4887d5043fff674bcdc7b8db19dd1d772e7f089",TRUE,2020-04-27 09:38:41,2020-04-27 09:34:39,"Laptop (touchpad)","Chrome","in-ear headphones","","4","4978.499999997439,5605.280000017956,6234.190000017406,6862.64000000665,7467.520000005607,8079.924999998184,8709.350000019185,9289.355000015348,9901.88499999931,10555.400000012014,11200.485000008484,11846.11500002211,12426.070000015898,13039.14999999688,13618.864999996731,14247.910000005504,14770.329999999376,15391.490000009071,15939.165000017965,16567.955000005895,17131.15000000107,17760.26000001002,18356.49000000558,18961.665000009816,19467.9049999977,20031.085000024177,20611.46000001463,21215.52500000689","1153.1400000094436,2115.250000002561,2605.2849999978207,3095.2350000152364,3577.3250000202097,4124.880000017583,4631.135000003269,5145.660000009229,5627.315000019735,6125.980000011623,6649.600000004284,7113.5749999957625,7595.965000014985,8086.754999996629,8576.845000003232,9156.770000001416,9621.96000001859,10128.675000014482,10610.955000011018,11100.830000010319,11582.81000002171,12130.449999996927,12661.445000005187,13118.560000002617,13641.57000000705,14098.68500000448,14622.174999996787,15078.884999995353,15626.775000011548,16124.815000017406,16631.475000001956,17105.20499999984,17578.930000017863,18111.01000002236,18575.7900000026,19114.2150000087,19588.530000008177,20658.365000010235,22079.809999995632,22626.94499999634,23125.76500000432","3079.924999998184,3610.419999982696,4117.245000001276,4582.58499999647,5089.24499998102,5628.129999997327,6175.404999987222,6591.549999982817,7114.279999979772,7645.45999999973,8119.49499999173,8609.579999989364,9149.189999996452,9606.114999973215,10161.764999997104,10668.559999990975,11109.32999997749,11657.12999997777,12122.9099999764,12621.51499997708,13177.404999994906,13643.01999998861,14067.829999985406","989.7300000011455,1602.1550000004936,4939.285000000382,5511.250000010477,6049.775000021327,6507.660000002943,6981.375000003027,7545.530000003055,8092.450000025565,8558.980000001611,9031.790000008186,9612.055000005057,10134.430000005523,10559.295000013663,11008.74499999918,11523.135000024922,12013.860000006389,12421.42500000773,12874.414999998407","1061.779999989085,1592.1849999867845,2098.314999981085,2547.7949999913108,2931.8199999979697,3381.2849999812897,3814.1599999798927,4255.114999978105,4679.689999989932,5145.474999997532,5562.210000003688,5962.534999998752,6469.110000005458,6918.4949999907985,7359.70499998075,7832.349999982398,8274.199999985285,8641.680000000633,9123.640000005253,9589.204999996582,10006.179999996675,10454.639999981737,10896.10499999253,11353.224999998929,11802.269999985583,12276.089999999385,12668.384999997215","3237.0450000162236,3802.7400000137277,4438.385000015842,5060.110000020359,5582.225000020117,6154.910000012023,6876.14500001655,7642.300000006799,8427.595000015572,9138.215000013588,9816.270000010263,10446.44500000868,11042.310000018915,11729.065000021365,12439.929999993183","3228.270000021439,3710.8850000076927,4339.720000018133,4839.0200000139885,5394.545000017388,5933.98500001058,6441.240000014659,6963.255000009667,7527.874999999767,8050.63500002143,8565.400000021327,9154.070000018692,9611.730000004172,10216.485000011744,10755.940000002738,11229.940000019269,11802.46000000625,12358.035000012023,12815.735000011045","3164.474999997765,3670.719999994617,4184.8900000040885,4700.400000001537,5190.195000002859,5696.72000000719,6178.769999998622,6692.739999998594,7158.46999999485,7624.1549999977,8114.414999989094,8612.380000005942,9135.444999992615,9683.11499999254,10156.909999990603,10646.689999994123,11103.774999995949,11626.664999988861,12142.04000000609,12615.290000016103,13170.805000001565,13644.484999997076,14111.700000008568,14617.124999989755,15148.134999995818,15621.820000000298"
"10","126a941b364d0cbb2af0bf476fece7be3442161d9cad03cbef5bb20dd5210a7a",TRUE,2020-04-27 09:40:05,2020-04-27 09:35:14,"Smartphone (touchscreen)","Chrome","smartphone speakers","rednaS","6","1788.9000000141095,3563.6999999987893,4135.999999998603,4637.700000021141,5173.000000009779,5667.9000000003725,6269.000000000233,6763.90000001993,7216.600000014296,7741.600000008475,8225.00000000582,8738.700000016252,9231.700000003912,9765.299999999115,10282.700000010664,10763.200000015786,11242.30000001262,11714.399999997113,12229.500000015832,12683.600000018487,13172.90000000503,13715.500000020256,14246.800000022631,14749.800000019604,15237.600000022212,15682.700000004843,16145.799999998417,16640.10000001872,17145.099999994272,17647.100000001956,18169.09999999916,18673.10000001453,19191.900000005262,19697.199999995064,20157.00000000652,20634.600000019418,21106.300000014016,21586.60000000964","2906.4000000071246,3403.9000000047963,3885.999999998603,4353.399999992689,4907.79999998631,5357.599999988452,5873.699999996461,6365.799999999581,6885.000000009313,7382.79999999213,7873.800000001211,8371.099999989383,8843.20000000298,9356.899999984307,9895.099999994272,10337.800000008428,10864.100000006147,11346.099999995204,11866.299999994226,12391.499999997905,12871.699999988778,13370.900000008987,13858.99999999674,14362.499999988358,14865.599999990081,15367.599999997765,15845.200000010664,16332.999999984168,16835.20000000135,17351.09999999986,17825.099999987287,18357.6999999932,18856.399999989662,19382.400000002235,19896.899999992456,20331.700000009732,20825.699999986682,21307.499999995343,21851.800000004005,22379.50000001001,22865.49999998533,23375.2000000095","759.3000000051688,2870.600000023842,3408.400000014808,3892.0000000216532,4375,4866.30000002333,5386.300000012852,5863.900000025751,6355.300000024727,6857.000000018161,7352.899999998044,7872.200000012526,8339.000000007218,8848.800000007031,9366.99999999837,9873.90000000596,10368.600000016158,10845.200000010664,11354.800000000978,11880.300000018906,12344.900000025518,12840.100000001257,13334.499999997206,13866.900000022724,14404.200000019046","1304.8999999882653,2764.2000000050757,3393.400000000838,3763.7999999860767,4133.99999999092,4523.300000000745,4916.399999987334,5321.9999999855645,5732.099999993807,6109.8000000056345,6516.299999988405,6929.000000003725,7355.299999995623,7734.499999991385,8165.799999987939,8557.199999981094,8946.39999998617,9331.500000000233,9742.99999998766,10136.700000002747,10537.099999986822,10930.69999999716,11325.400000001537,11739.499999996042,12144.199999980628,12552.100000000792,12911.300000007031","4002.4999999732245,4486.399999994319,4942.199999990407,5406.899999972666,5833.399999974063,6266.4999999979045,6716.599999985192,7190.899999986868,7606.999999989057,8040.399999998044,8473.399999988033,8906.49999998277,9371.199999994133,9849.699999991572,10265.69999998901,10714.599999977509,11224.299999972573,11638.699999981327,12036.699999996927,12468.99999998277,12886.699999973644","1036.500000016531,3331.6000000049826,4054.100000008475,4705.199999996694,5350.20000001532,5930.400000012014,6620.699999999488,7269.300000014482,7928.0000000144355,8637.000000016997,9335.5000000156,9959.600000001956,10650.300000008428,11249.10000001546,11967.700000008335,12642.599999991944","5357.400000008056,5913.199999980861,6641.999999992549,7313.200000004144,8005.999999993946,8647.8000000061,9319.599999987986,9975.199999986216,10662.299999996321,11318.399999989197,11984.10000000149,12642.300000006799","872.6000000024214,4386.799999978393,4834.199999982957,5340.299999981653,5848.999999987427,6379.499999980908,6859.3999999866355,7344.699999986915,7869.699999981094,8305.099999997765,8846.899999974994,9302.999999985332,9866.699999984121,10377.299999992829,10835.800000000745,11350.599999976112,11873.699999996461,12371.099999989383,12836.999999999534,13303.599999984726,13853.09999997844,14325.699999986682,14824.499999987893,15331.199999985984,15773.69999999064"
