"","id","complete","currentTime","startTime","device","browser","headphones","age","gender","residence","youth_country","language","ollen","MT_06","instrument","years_instr","duplets","comments","sounds/spontaneous_tap_15s.mp3","sounds/tempo/90-120_-8-8.wav","sounds/tempo/120-160_-12-4.wav","sounds/tempo/120-160_-8-8.wav","sounds/tempo/67.5-90_-16-0.wav","sounds/tempo/67.5-90_-8-8.wav","sounds/tempo/90-120_-12-4.wav","sounds/tempo/120-160_-16-0.wav","sounds/tempo/67.5-90_-12-4.wav","sounds/tempo/90-120_-16-0.wav"," 2"," 5"," 7"," 9","11","13","15","17","19","21"," 6"," 8","10","12","14","16","18","20","22"
"1","571470c7c946f46515459e774c9ca02ecf08e8d6ab786cf192fc8348d3f536b6",TRUE,2020-05-29 07:38:20,2020-05-29 07:25:18,"Smartphone (touchscreen)","Chrome","my device's internal speakers","30-31","Male","Denmark	","Spain	","Catalan, Spanish","Serious amateur musician","3","violin","22","No","Nice job.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","8a1d45b3633c8e5aaa1ba7833d3c56fcc80ecb15b3351f668bedb20d30b08b7a",TRUE,2020-05-29 12:38:05,2020-05-29 12:27:40,"Smartphone (touchscreen)","Chrome","in-ear headphones","64-65","Female","Turkmenistan	","Costa Rica	","Japanese","Music-loving nonmusician",NA,NA,NA,"No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ba6244b9f7ae4f60e687b4f8b9fc244ab29021193bf449ecdbacfc53c44ffea0",FALSE,2020-05-29 11:35:33,2020-05-29 11:35:10,"Smartphone (touchscreen)","Chrome","on-ear headphones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","7753e22e2183a2a5d136a5096cf157944d999e2f4b133a97305adb8aa106e49f",FALSE,2020-05-29 11:36:48,2020-05-29 11:36:31,"Smartphone (touchscreen)","Chrome","on-ear headphones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","9861ac20dc9bfb014a3b7fc933bbf1dd232513b8a8c01082f6477e3f71da9e3d",FALSE,2020-05-29 11:38:01,2020-05-29 11:37:47,"Smartphone (touchscreen)","Chrome","on-ear headphones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","6c1ea23591eb77830176fc0b1d9950f3de5bacb9ad354911d970fd66dc6c68da",TRUE,2020-05-29 11:50:45,2020-05-29 11:38:44,"Laptop (external mouse)","Firefox","around-ear headphones","18-19 years","Other","Afghanistan	","Afghanistan	","Arabic","Nonmusician",NA,NA,NA,"Yes, six or more times before","I used external mouse.  And I did my best in the tapping...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","a3813539bbd57df3ac99abad38f9a80b031ed8db0bd877a5c34f6bb1e3c630f7",TRUE,2020-05-29 11:58:35,2020-05-29 11:38:45,"Smartphone (touchscreen)","Chrome","on-ear headphones","62-63","Male","Belarus	","Algeria	","Bengali","Nonmusician",NA,NA,NA,"No","","1923.0999999999767,2100.9999999987485,2360.6999999974505,2700.4999999990105,3035.700000000361,3396.3000000003376,3667.600000000675,3983.8999999992666,4302.5999999990745,4626.199999998789,4980.499999997846,5337.499999997817,5664.199999999255,5972.299999997631,6331.099999999424,6615.9999999981665,6930.700000000797,7287.700000000768,7571.0999999973865,7954.999999998108,8264.1999999978,8628.000000000611,8943.999999999505,9270.899999999529,9477.399999999761,9834.899999998015,10119.999999998981,10474.299999998038,10728.199999997742,10997.400000000198,11313.200000000506,11653.399999999237,11926.799999997456,12235.000000000582,12559.999999997672,12926.400000000285,13249.400000000605,13556.899999999587,13851.199999997334,14166.399999998248,14567.10000000021,14858.299999999872,15151.499999999942,15488.799999999173,15824.499999998807,16145.49999999872,16383.200000000215","3391.1000000007334,3861.799999998766,4471.399999998539,5076.199999999517,5741.20000000039,6227.200000001176,6748.700000000099,7233.599999999569,7750.199999998586,8242.099999999482,8739.700000001903,9249.599999999191,9770.199999999022,10198.899999999412,10678.70000000039,11207.600000001548,11738.199999999779,12239.09999999887,12753.899999999703,13253.40000000142,13819.299999999203,14462.500000001455","2749.8999999988882,3222.0999999990454,3743.9999999987776,4258.700000002136,4727.999999999156,5275.099999998929,5712.200000001758,6224.6999999988475,6760.999999998603,7173.3000000022,7705.900000000838,8257.700000001932,8718.100000001868,9197.800000001735,9682.000000000698,10147.799999998824,10680.299999999988,11207.000000002154","4165.399999998044,4656.699999999546,5045.899999997346,5239.599999997154,5710.899999998219,6223.099999999249,7228.899999998248,7716.999999996915,8200.299999996787,8645.300000000134,9089.69999999681,9527.299999997922,9946.699999996781,10341.199999998935,10780.399999999645,11251.499999998487","4539.199999999255,5264.2999999989115,5915.30000000057,6552.999999999884,7224.099999999453,7895.199999999022,8570.400000000518,9225.200000000768,10610.000000000582,11150.799999999435,11791.700000001583,12417.900000000373,13057.10000000181,13659.40000000046,14396.199999999226,15105.70000000007,15771.499999998923,16380.799999998999,17083.39999999953,17729.800000000978,18318.999999999505,18961.999999999534","5220.700000001671,5713.10000000085,6383.499999999913,7116.4000000026135,7779.80000000025,8349.10000000309,9056.400000001304,9858.100000001286,10665.000000000873,11355.999999999767,11997.600000002421,12714.900000002672,13495.300000002317,14321.300000003248,15095.300000000861,15876.000000000204,16549.200000001292,17226.90000000148,17919.700000002194,18624.60000000283,19315.90000000142","3815.2999999983876,4555.4000000011,5184.900000000198,5786.000000000058,6446.1000000010245,7104.899999998452,7786.89999999915,8486.300000000483,9119.299999998475,9783.400000000256,10494.699999999284,11114.699999998265,11789.199999999255,12490.399999998772,13081.699999998818,13756.600000000617","4246.399999999994,4728.699999999662,5205.900000000838,5741.600000001199,6216.400000001158,6741.099999999278,7264.500000001135,7754.499999999098,8256.400000002031,8754.1999999994,9229.800000000978,9764.999999999418,10301.99999999968,10767.299999999523","5247.999999999593,5848.200000000361,6522.19999999943,7196.599999999307,7879.400000001624,8602.200000001176,9235.599999999977,9876.400000001013,10495.500000000902,11191.399999999703,11868.099999999686,12575.600000000122,13757.900000000518,14456.699999998818,15121.800000000803,15764.800000000832,16359.89999999947,17712.800000001153,18372.89999999848,18985.899999999674","3348.6999999986438,3835.5999999985215,4337.8000000011525,4813.300000001618,5314.99999999869,5780.699999999342,6269.100000001345,6743.69999999908,7242.500000000291,7737.0000000009895,8236.899999999878,8706.200000000536,9207.900000001246,10240.099999999074,10760.200000000623,11307.799999998679,11806.700000001001,12801.59999999887,13815.90000000142,14297.80000000028,14804.89999999918","sounds/spontaneous_tap_15s.mp3","sounds/tempo/90-120_-8-8.wav","sounds/tempo/120-160_-12-4.wav","sounds/tempo/120-160_-8-8.wav","sounds/tempo/67.5-90_-16-0.wav","sounds/tempo/67.5-90_-8-8.wav","sounds/tempo/90-120_-12-4.wav","sounds/tempo/120-160_-16-0.wav","sounds/tempo/67.5-90_-12-4.wav","sounds/tempo/90-120_-16-0.wav","34","8","32","0","39","24","28","36","0"
"8","25fbbfa82815825fd7c96101160e518e83bd9dee0a84aadd26c908f848ca122b",FALSE,2020-05-28 17:45:28,2020-05-28 17:45:04,"Smartphone (touchscreen)","Chrome","my device's internal speakers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","8422dc89741fbfccb853c8cf095657d58b9cdf1a1721890cbb92da66ad35a219",FALSE,2020-05-29 12:14:49,2020-05-29 12:14:34,"Smartphone (touchscreen)","Chrome","in-ear headphones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","82d33fc78cc60489836386e95d9a2f0f1f95355e63ff31ea42ecc1f6a063d452",FALSE,2020-05-29 12:18:54,2020-05-29 12:18:32,"Smartphone (touchscreen)","Chrome","in-ear headphones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
